year,oppty_segment,pipeline,pct_of_year_total
FY24,ENT - SEL,157072.03999999998,51.19585103546965
FY24,MM,103070.95000000001,33.594807849215826
FY24,ENT - STR,45089.83,14.696518997872893
FY24,ENT - COR,1494.24,0.48703059087562733
FY24,CML,79.13,0.02579152656600572
FY25,ENT - SEL,68538413.29000008,34.74556362645582
FY25,ENT - COR,46616594.79999989,23.632292942334963
FY25,MM,46239490.030000046,23.44111959660212
FY25,ENT - STR,25466814.800000027,12.91040733978694
FY25,CML,10396714.10999999,5.2706164948201595
FY26,ENT - SEL,221118684.10000044,40.42521149923879
FY26,ENT - STR,115409696.28000014,21.099353951798903
FY26,MM,107227138.93999985,19.603407951484588
FY26,ENT - COR,80246624.81000078,14.670794524886277
FY26,CML,22979988.79999993,4.201232072591436
