quarter,pipeline,prior_year_pipeline,yoy_growth_pct
FY24 Q1,38111.72,,
FY24 Q2,62730.37000000001,,
FY24 Q3,19291.46,,
FY24 Q4,186672.63999999998,,
FY25 Q1,714858.4999999999,38111.72,1775.6920443370173
FY25 Q2,37522147.429999776,62730.37000000001,59714.96272060849
FY25 Q3,91990722.9100004,19291.46,476746.8685625681
FY25 Q4,67030298.18999976,186672.63999999998,35807.939262014916
FY26 Q1,115593869.17000008,714858.4999999999,16070.174820611364
FY26 Q2,139935594.98000106,37522147.429999776,272.9413281610836
FY26 Q3,152342927.15999898,91990722.9100004,65.60683766888589
FY26 Q4,139388892.77999926,67030298.18999976,107.94908652337558
